time,gFx,gFy,gFz,gFTotal,walker
89.51551985740662,-0.271,0.946,0.147,0.995,daniel
89.51575112342834,-0.271,0.946,0.147,0.995,daniel
89.5195300579071,-0.247,0.647,-0.059,0.695,daniel
89.52992987632751,-0.216,0.648,-0.131,0.696,daniel
89.5405490398407,-0.106,0.75,-0.108,0.765,daniel
89.55049395561218,-0.025,0.704,-0.155,0.721,daniel
89.5605080127716,-0.061,0.687,-0.208,0.72,daniel
89.5708839893341,-0.089,0.688,-0.186,0.718,daniel
89.58149218559265,-0.131,0.67,-0.118,0.693,daniel
89.62025189399719,-0.461,0.857,0.021,0.973,daniel
89.62073493003845,-0.461,0.857,0.021,0.973,daniel
89.62097096443176,-0.461,0.857,0.021,0.973,daniel
89.62252116203308,-0.461,0.857,0.021,0.973,daniel
89.63073086738586,-0.499,0.866,-0.058,1.001,daniel
89.64040303230286,-0.504,0.83,-0.103,0.976,daniel
89.65096592903137,-0.498,0.828,-0.131,0.975,daniel
89.66097807884216,-0.459,0.843,-0.115,0.967,daniel
89.67110991477966,-0.441,0.832,-0.072,0.944,daniel
89.68157410621643,-0.442,0.811,-0.022,0.924,daniel
89.71503901481628,-0.456,0.8,0.093,0.926,daniel
89.71527791023254,-0.456,0.8,0.093,0.926,daniel
89.71550297737122,-0.456,0.8,0.093,0.926,daniel
89.72019505500793,-0.459,0.814,0.073,0.937,daniel
89.73068308830261,-0.456,0.824,0.029,0.942,daniel
89.74081301689148,-0.454,0.84,-0.012,0.955,daniel
89.75136208534241,-0.428,0.859,-0.021,0.96,daniel
89.76130890846252,-0.427,0.889,-0.02,0.986,daniel
89.77138209342957,-0.43,0.895,-0.026,0.993,daniel
89.78207612037659,-0.432,0.884,-0.027,0.984,daniel
89.81665205955505,-0.45,0.848,-0.123,0.968,daniel
89.81690812110901,-0.45,0.848,-0.123,0.968,daniel
89.8171398639679,-0.45,0.848,-0.123,0.968,daniel
89.82084703445435,-0.436,0.845,-0.09,0.955,daniel
89.8310239315033,-0.423,0.86,-0.05,0.96,daniel
89.84157705307007,-0.431,0.875,-0.032,0.976,daniel
89.85162997245789,-0.44,0.868,-0.027,0.974,daniel
